OriginalID,Study,FlightID,Origin,Destination,Fleet,Carrier,Departure Time,Arrival Time,Ref Ellipsoid,SW Corner,NE Corner,Simulation Start-Time
0,NATselB_2019,10140,MIA,MXP,772,AA,81300,114060,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
1,NATselB_2019,10326,DFW,AMS,772,AA,78600,111240,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
2,NATselB_2019,10357,DFW,FRA,772,AA,79800,113940,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
3,NATselB_2019,10605,IAD,FCO,777,UA,81000,110940,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
4,NATselB_2019,10636,IAD,FRA,777,UA,80700,107880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
5,NATselB_2019,10667,IAD,LHR,777,UA,84300,108840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
6,NATselB_2019,10729,IAD,MUC,777,UA,80700,109080,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
7,NATselB_2019,10760,ORD,FRA,777,UA,87600,116460,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
8,NATselB_2019,10853,EWR,FCO,777,UA,81300,109860,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
9,NATselB_2019,10977,ORD,CDG,777,UA,87600,115260,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
10,NATselB_2019,11008,ORD,BRU,777,UA,86760,114360,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
11,NATselB_2019,11101,IAH,LHR,777,UA,80700,112800,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
13,NATselB_2019,11225,IAH,AMS,777,UA,82200,115500,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
14,NATselB_2019,11473,EWR,OSL,333,SK,86100,111660,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
15,NATselB_2019,11504,EWR,CPH,333,SK,81300,108000,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
16,NATselB_2019,11535,BOS,DUB,330,EI,95400,116220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
17,NATselB_2019,11643,JFK,LHR,333,VS,82800,106680,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
18,NATselB_2019,11705,IAD,LHR,333,VS,83400,108840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
21,NATselB_2019,11829,ATL,LHR,333,VS,90000,119040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
22,NATselB_2019,11891,YUL,AMS,332,KL,85860,109560,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
23,NATselB_2019,12046,YYZ,KEF,763,FI,93600,111720,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
24,NATselB_2019,12077,BOS,KEF,76W,FI,93960,111000,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
25,NATselB_2019,1210,MCO,LGW,744,VS,89460,117780,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
27,NATselB_2019,1241,MCO,LGW,744,VS,81300,109680,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
28,NATselB_2019,12527,YUL,CDG,332,QR,93000,116880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
29,NATselB_2019,125,JFK,CDG,388,AF,86400,110340,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
30,NATselB_2019,12651,MIA,LHR,789,VS,81300,110700,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
31,NATselB_2019,12926,JFK,AMS,789,KL,84600,108840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
32,NATselB_2019,13007,JFK,MXP,330,AZ,91800,119400,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
33,NATselB_2019,13038,BOS,FCO,330,AZ,96660,124860,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
34,NATselB_2019,13100,JFK,FCO,330,AZ,81900,111480,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
35,NATselB_2019,13131,YYZ,FCO,330,AZ,95400,125880,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
36,NATselB_2019,13255,ORD,FCO,330,AZ,76200,109440,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
37,NATselB_2019,1334,YUL,CDG,77W,AC,82200,105060,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
38,NATselB_2019,1365,YYZ,CDG,77W,AC,88200,113040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
